,"t, hr","md, ft",prom_wob,prom_rpm,prom_q,prom_tq,p_ma_psi,rop_pph
302,24.0,4472,23.0,70.0,1000.0,17.0,3700,96.0
303,24.0,4472,12.0,0.0,1000.0,0.0,3500,96.0
304,10.0,5270,22.5,70.0,1000.0,19.5,3900,80.0
305,10.0,5270,8.0,0.0,1000.0,0.0,3500,80.0
306,11.5,5838,26.0,65.0,920.0,19.5,3800,49.0
307,11.5,5838,9.0,0.0,900.0,0.0,3300,49.0
308,8.0,502,8.5,70.0,265.0,5.0,700,58.0
309,6.0,1013,15.0,75.0,640.0,10.0,2400,85.0
310,14.0,2500,17.0,67.5,1000.0,11.5,3100,106.0
311,14.0,2500,8.0,0.0,1000.0,0.0,2700,106.0
312,10.3,3431,23.0,75.0,1000.0,12.5,3300,89.0
313,10.3,3431,15.0,0.0,1000.0,0.0,3100,89.0
314,7.0,3865,16.0,75.0,1000.0,15.0,3700,87.0
315,7.0,3865,15.0,0.0,1000.0,0.0,3300,87.0
316,1.3,4018,18.5,75.0,1000.0,14.0,3600,102.0
317,1.3,4018,16.0,0.0,1000.0,0.0,3400,102.0
318,3.0,190,5.0,60.0,180.0,1.5,230,51.0
319,5.5,645,10.0,80.0,650.0,2.5,700,83.0
320,13.0,2400,27.5,60.0,1000.0,17.5,3250,135.0
321,13.0,2400,17.5,0.0,1000.0,0.0,2400,135.0
322,2.5,2691,27.5,70.0,1000.0,16.0,3450,116.0
323,2.5,2691,8.0,0.0,1000.0,0.0,3150,116.0
324,13.0,4006,30.0,70.0,1000.0,16.0,3600,102.0
325,13.0,4006,8.0,0.0,1000.0,0.0,3300,102.0
326,7.0,4950,20.0,70.0,900.0,10.0,3150,126.0
327,7.0,4950,12.0,0.0,900.0,0.0,2950,126.0
328,9.0,5670,25.0,65.0,862.5,15.0,3700,80.0
329,9.0,5670,12.0,0.0,825.0,0.0,2950,80.0
330,8.0,580,10.0,60.0,440.0,2.5,650,68.0
331,5.0,920,20.0,80.0,880.0,6.0,1950,68.0
332,12.5,2000,20.0,60.0,1000.0,17.5,3200,86.0
333,12.5,2000,8.0,0.0,1000.0,0.0,3000,86.0
334,24.0,4390,27.5,60.0,1000.0,17.5,3900,99.58
335,24.0,4390,8.0,0.0,1000.0,0.0,3600,99.58
336,17.5,5728,27.5,65.0,875.0,17.5,3950,76.0
337,17.5,5728,8.0,0.0,900.0,0.0,3600,76.0
338,3.0,6027,27.5,70.0,815.0,17.5,2800,99.66
339,6.0,150,7.0,55.0,110.0,1.5,450,19.0
340,2.0,157,7.0,55.0,170.0,1.5,450,5.0
341,8.5,822,18.0,80.0,525.0,4.0,800,78.0
342,4.5,1470,27.5,65.0,1000.0,18.5,3300,144.0
343,2.5,4020,28.5,65.0,1000.0,17.5,3900,76.0
344,19.0,5675,24.0,80.0,865.0,16.0,3800,116.0
345,19.0,5675,7.0,0.0,865.0,0.0,3800,116.0
346,0.5,5710,21.0,80.0,800.0,13.0,2850,70.0
347,0.5,5771,21.0,80.0,800.0,13.0,2850,122.0
348,10.0,6580,25.0,70.0,825.0,15.0,3500,87.0
349,8.0,6850,21.0,40.0,550.0,13.0,2000,34.0
350,5.0,7030,27.0,60.0,830.0,16.0,3800,36.0
351,5.0,7030,14.0,0.0,830.0,0.0,3600,36.0
352,14.0,7570,35.0,80.0,820.0,16.0,3900,39.0
353,14.0,7570,22.0,0.0,800.0,0.0,3600,39.0
354,10.0,7865,35.0,40.0,550.0,13.0,2400,29.5
355,16.0,8230,25.0,40.0,550.0,15.5,2600,23.0
356,2.0,8296,37.5,80.0,750.0,17.0,3900,33.0
357,18.0,4852,17.5,75.0,900.0,9.5,3500,79.0
358,18.0,4852,12.0,0.0,900.0,0.0,3500,79.0
359,15.0,5722,21.5,75.0,900.0,16.5,3700,58.0
360,15.0,5722,10.0,0.0,900.0,0.0,3400,58.0
361,19.5,6510,27.5,80.0,900.0,15.0,3800,40.0
362,4.0,6530,0.0,0.0,900.0,0.0,3550,5.0
363,7.0,6739,27.5,70.0,880.0,17.0,3900,30.0
364,2.0,6743,19.0,40.0,550.0,11.5,1950,2.0
365,7.0,6786,27.5,40.0,550.0,16.0,1900,6.0
366,1.0,6788,27.5,40.0,550.0,15.0,1900,2.0
367,7.0,6976,6.0,40.0,600.0,11.5,2600,27.0
368,12.0,7744,27.5,80.0,800.0,17.5,4000,64.0
369,12.0,8055,20.5,40.0,600.0,18.0,2700,26.0
370,17.5,8550,27.5,40.0,600.0,22.0,2800,28.0
371,3.0,8720,11.5,50.0,420.0,21.0,1700,57.0
372,4.0,5250,19.0,80.0,850.0,14.0,3800,58.0
373,4.0,5250,12.5,0.0,850.0,0.0,3450,58.0
